country,patents,pct_share
US,5152235,48.18
JP,1596388,14.93
DE,632808,5.92
CN,503914,4.71
KR,441206,4.13
TW,326572,3.05
GB,295191,2.76
CA,268412,2.51
FR,253366,2.37
CH,122076,1.14
IN,119490,1.12
IT,113452,1.06
NL,101524,0.95
IL,99312,0.93
SE,96538,0.9
AU,75082,0.7
BE,52435,0.49
AT,49161,0.46
FI,45722,0.43
DK,37995,0.36
