inventor_name,country,patents
Tao Luo,US,1057
Junyi Li,US,592
Xiaoxia Zhang,US,549
Jing Sun,US,446
Peter Gaal,US,353
"Frederick E. Shelton, IV",US,324
Wanshi Chen,US,308
Esmael Hejazi Dinan,US,307
Yan Zhou,US,304
Li Zhang,US,303
Shan Liu,US,300
Sony Akkarakaran,US,288
Kai Zhang,US,279
Kapil Gulati,US,233
Hongbin Liu,CN,229
Juan Montojo,US,222
Yue Wang,CN,221
Seyedkianoush Hosseini,US,209
Navid Abedini,US,203
Sarbajit K. Rakshit,IN,196
